BestellNr,FilialeNr,Transfer,Datum,Art,Lieferant,Artikel,ReferenzNr,ModellCode,FarbeCode,Modell,Farbe,Größe,Liefertermin,Bestellt,bestellen,stornieren,geliefert,Bestellmenge,Abrufmenge,Liefermenge,Etikettenmenge,Preis,Netto,Rabatt1,Rabatt2,ReservierteMenge,Kunde,zugesagtBis,Versand,Versandadresse,Bemerkung,anmahnen,angemahntAm,Verkäufer,BestellprotokollNr,gedruckt,Code,s_Key,s_Status
247846,0,,"2024-06-27 00:00:00",2,24,51772,151300,23710,,"Kanken Totepack",graphite,"14 Liter","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,57.4,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247958,0,,"2024-06-27 00:00:00",2,24,34366,83435,89638,,"Nikka Trouser Curved Wm",black,"36 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247945,0,,"2024-06-27 00:00:00",2,24,53410,157405,87084,,"Singi X-Trousers","wood brown","54 Herren","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,137.9,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247924,0,,"2024-06-27 00:00:00",2,24,47452,163095,82411,,"Keb Eco-Shell Jacket","deep forest",XXXL,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,270.2,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247861,0,,"2024-06-27 00:00:00",2,24,42294,114803,24218,,"Zip Card Holder","deep patina",-,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,15.75,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247840,0,,"2024-06-27 00:00:00",2,24,51682,151106,23345,,"Räven 28 L",black,"28 Liter","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,69.3,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247835,0,,"2024-06-27 00:00:00",2,24,53442,157469,23227,,"High Coast Crossbody",black,"3 Liter","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,2.0,,,,36.75,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247828,0,,"2024-06-27 00:00:00",2,24,54885,163163,23200283,,"Färden Duffel 80",green,"80 Liter","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,117.6,0,0.1285,,,,,0,,,0,,,18751,0,,,0
249410,0,,"2024-08-27 00:00:00",1,24,54056,159883,23200246,,"Singi Hip Pack 10","dark olive",-,,,0,0,0,1.0,,,,86.8,0,0.0714,,,,,0,,,0,,,0,0,,,0
247922,0,,"2024-06-27 00:00:00",2,24,40387,163094,82411,,"Keb Eco-Shell Jacket",black,XXXL,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,270.2,0,0.1285,,,,,0,,,0,,,18751,0,,,0
